Annotator 1,Annotator 2(Yasitha),Phrase
disgust,disgust,නරි නාටක කියල මේවට කියන්නේ
,,හාමුදුරුවනේ බලාගෙන මාර සෙනග ඇවිත් ඔබ වහන්සේට කරදරකරයි
disgust,,මේවා බොරු වැඩ
anger,anger,මර්සි ඔබ අරි මෝඩයන්ට තේරෙන් නැති එක තමා ප්‍රස්නේ
,,ගොඩක් හොඳයිනේ මේ වගේ වැඩ. අගේ කරමු හිංසාවෙන් තොර වෙන්න.
,,කවුරු කවුරුත් අනුන්ගේ ආගම් වලට ඇඟිල්ල දික් කරන්නේ නැතිව තමන්ගේ ආගම හරියට අදහනවා නම් ප්‍රශ්න ඉතාම අඩුයි. දැන් වෙලා තිබෙන්නේ තමන්ගේ ආගම වත් හරියට අදහන්නේ සහ ප්‍රායෝගිකව ඒ අනුව කටයුතු කරන්නේ නැති එක.
,,"අනේ මන් දන්නේ නැහැ. අවුරුදු හතලිස් ගානක් ලංකාවේ ජීවත් වුනා , මට නම් මුස්ලිම් ජනතාවගෙන් අබ ඇටයක වරදක් මෙතෙක් සිද්ධ වුනේ නැහැ. අහල පහල ගෙවල් වල ඉන්න මුස්ලිම් සහෝදරයන් එදා ඉඳලාම අපේ ගෙවල් වල මගුලක් උත්සවයක් මරණයක් කරදරයක් වුනොත් කියන්න කලින් ඇවිත් උදව් පදව් කරනවා."
anger,anger,හාමුදුරුවෝ බුද්ධාගම ගැන විතරක් කතා කලා නම් හොඳයි නොදන්නා අනිත් ආගම ගැන කියනවට වඩා.
,fear,මේවට අපේ අයට තරහ යයිද දන්නේ නැහැ.
,,"අපෙ හාමුදුරුවණේ, සත්ව හිංසාවේ ආදීනව පෙන්වා දී හරකුන් මැරීම පාපයක් බව පෙන්වා දුන්නා නම් දේශණාව මසුරන් වටී"
,,"ඒ උනාට මර්සි , ක්‍රියාවෙන් ඕක වෙන්නේ නැති එකයි අපට තියෙන ප්‍රශ්ණය. . අන්‍ය ආගම් පොඩි පට්ටම් කර තමන්ගේ ආගම ප්‍රචලිත කර ගැනීමට අන්‍ය ආගම් සතු දේපල කොල්ල කමින් පුරාවස්තු විනාශ කරමින් යමෙක් කටයුතු කරන්නේ නම් අගතියට පත් අයට රටේ නීතිය මගින් වත් සහනයකුත් නැත්නම් එ්ක පාක්ෂික බලෙන් සහජීවනය ඇති කරන්න පුලුවන්ද? එ්ක සාර්ථකද? යම් ආගමක අදහන බහුතරයක් වෙසෙන පළාත් වලත් මේ සහජීවනය තියෙනවාද? යම් සිදුවීමක් වුන ප්‍රදේශවල හමුදා කඳවුරු පිහිටුවා බලහත්කාරය යෙදීමට කිසිවෙක් කටයුතු කරයි නම් එය කෙතරම් සාධාරණද? මුදා නොගත් ප්‍රදේශ වගේ වෙනත් ආගමක් අදහන අයෙකුට නිදහසේ ඒ ප්‍රදේශයක් හරහා වාහනයකින් වත් යන්න බැරි ප්‍රදේශ මේ ලංකාවේ තියෙන බව දන්නවාද? කතු තුමනි බෞද්ධයාට වෙන අසාධාරණය ගැනත් කියන්න පොඩි ඉඩක් දෙන්න"
,,"""කිසිම ආගමකින් හිංසාව අනුමත නොකරන බව පැහැදිලි කළහ. "" හාමුදුරුවනේ පොඩ්ඩක් ඒ ගොල්ලන්ගේ පොත කියවලා බලන්න ."
,,"සියලු දෙනා ඉවසීම හා කරුණාව අපේක්‍ෂා කරන්නේ බෞද්ධයන්ගෙන් පමණි. ලොව වැඩිම ප්‍රමාණයක්‌ ත්‍රස්‌තවාදි ක්‍රියා සිදුකරන්නේ බෞද්ධයන්ද? ශ්‍රී ලංකාව, මියන්මාරය, තායිලන්තය, ලාඕසය හා කාම්බෝජය ලොව ඉතිරිවී ඇති ථේරවාදි බෞද්ධ රටවල්ය. අතීතයේදී බෞද්ධයන්ගේ ඉවසීම ප්‍රයෝජනයට ගත් අන්තවාදීන් භික්‍ෂූන් වහන්සේලා ඝාතනය කොට පකිස්‌තානය, ඇෆ්ගනිස්‌ථානය, ඉන්දියාව, බංගලාදේශය, ඉන්දුනීසියාව වැනි රටවලින් බුදුදහම අතුගා දැමූහ. ලොව වැඩිම කාලයක්‌ බුදුදහම රැකගත් ශ්‍රී ලංකාවේ හා මියන්මාරයේ භික්‍ෂුන් වහන්සේලා ඉදිරියටත් බුදුදහම රැකගැනීමට නායකත්වය දෙනු ඇත. ඔබ වහන්සේ ථෙරවාදි බෞද්ධයන්ට උපදෙස්‌ දීමට පෙර බටහිර ගැති ක්‍රියාපිළිවෙත නවත්වා චීනය තුළ ටිබෙට්‌ ජනතාවට යහපත් ජීවන තත්ත්වයක්‌ උදාකරදීමට ක්‍රියාකරන්නේ නම් එය වඩාත් යහපත්වනු ඇත."
,,"ඊයේ පොහොය දවසේ අපේ පන්සල්වලත් වස් අරාධනා තිබුණා. ඒවටත් හින්දු, කතෝලික සහ මුස්ලිම් ආගමික නායකයින් සහභාගී කර ගත්තා නම් තවත් ආදර්ශමත් වෙනවා. ඉදිරි වසරේදීවත් එසේ සිදුවේවායි පතමි."
,,දැන් අලුත්ම මෝස්තරය ආගමික සහජීවනය ! අපි තාමත් අඳුරේ අත පත ගානවා.
disgust,disgust,"ඡයාගේ කතාව මල්, මේ ඔක්කොම තමන්ගේ වාසියට විතරයි"
,,අපි කැමතියි පිටබැද්දර ජයාගේ මෝස්තරය මොකද්ද කියල දැන ගන්න .
,,ආගමික සහජීවනය කියන්නේ නොයෙකුත් ආගම් අදහන මිනිස්සු අතර නොයෙකුත් ජාතින් අතර වර්දනය විය යුතු සමගිය කියන එක. රටක් සංවර්දනය වෙන්න නම් මිනිස්සු අතර සමගිය සාමය සන්හින්දියව තියෙන්න ඕනි. හැම මිනිහම එක වගේ නැහැ. මිනිස්සුන්ගේ එකීනෙකා අතර වෙනස් කම් තියෙනවා. නමුත් හැම කෙනෙක්ම මනුස්සයෙක්. හැම කෙනාගේම වෙනස් කම් හඳුනාගෙන මෛත්‍රිය වන්න පුළුවනි නම් එතෙන සාමය සන්හින්දියව තියෙනවා.
,,අජිත් කරුණාරත්න ලියනගේ මහත්මයාගේ අදහස හරිම අගේ කරනවා මමත්. මෙහෙම උනොත් හැම ආගමිකයෙක්ම අනිත් කෙනාගේ ආගමේ සත්‍යතාවන් පවා ඉගෙනගන්නවා. සමගිය ඇති වෙනවා.
,,"""කිසිම ආගමකින් හිංසාව අනුමත නොකරන බව පැහැදිලි කළහ. අපි සියලු දෙනාම එක මවකගේ දරුවන් සේ ජිවත් වෙමු"
,,"කෛරාටික අවස්ථවාදීන්, කාළයත් අවස්ථාවත් එළබෙන තුරු ආගමික සහාජීවනය ගැන කථාකරති."
,,බෞද්ධයන් හැමවිටම ඉවසන්නේ නැති බව දැන් දැනගත්තානේ. ඉස්සරහට තමන්ගේ අන්තවාදය අතහැරලා අනෙක් අයත් එක්ක සාමයෙන් සමගියෙන් ඉන්න ඉගෙන ගන්න. ටික කාලෙකින් සිංහලයන්ට අමතක වෙනවා කියල හිතුවොත් නැවත විනාශයක් වෙන්න ඉඩ බොහෝ වැඩියි. ආගමික පොත්වල තියෙන දේවල්වල ගැටළු තිබෙනවා. ඒවා වෙනස් කරන්න බෑ. නමුත් ඒවා ක්‍රියාත්මක කිරීම වැළකීම ආරක්ෂක අංශවල කාර්යයක්. අපි ශ්‍රී ලාංකිකයන් කියල හැමෝම සිතිය යුතුයි.
disgust,disgust,මොන පිස්සු විකාරද මේ. හාමුදුරුවරු දේශපාලන වාසි ලබා ගන්න හදනවද?
,,ලෝකේ කොහෙවත් මෙවන් දේවල් සිදුවන්නේ නැහැ. මේවා තමයි අපිත් බලාපොරොත්තු වන්නේ. කෝ මේ බැන්කින් මූන් ල දලෙයි ලාමලා අල් ජසීරාළ මේවා මැද පෙරදිග රටවල සහ මාල දිවයිනෙත් ප්‍රසිද්ද කරන්න ඕනා
,,"බෞද්ධ උපාසකයෙකු සමග එක මට්ටමේ අසුන් නොගන්න හාමුදුරුවරු අන්‍ය ආගමිකයන් සමග එකම මට්ටමේ වාඩි වෙනවා. රජුන් වුවත් සිටිය යුත්තේ සංඝ රත්නයට පහලින්. මෙවැනි දේවල් නිකම් ප්‍රදර්ශන විතරයි. ආගමික සහජීවනය යනු මෙවැනි දේවල් නොවේ. හින්දු මුස්ලිම් යහළු යෙහෙළියන් අපට කොපමණ සිටිනවාද, එයින් කියන්නේ නෑ නේද ඔවුන් පන්සලෙත් අප පල්ලියේත් එකට සිටින බව. ඔවුනොවුන්ගේ යහපත් ගති වලට ගරු කරමින් සමගියෙන් සිටිමු. අපේ මතවාද අනුන්ට බලෙන් පැටවීමට යාමෙන් වළකිමු. එයයි සහජීවනය. සාමකාමී සිංහල, දමිළ , මුස්ලිම් සොයුරු සොයුරියන්ට යහපතක්ම වේවා !"
disgust,surprise,මේ වැඩේ ම කරපු වටරැක හිමියන් ඇයි වැරදි?
,,පුෂ්ප කුමාර ඔයා ඉස්සෙල්ල කියවල බලන්ඩ.
,,මෙහි අදහස් පල කරන අය ඉතාමත් බුද්ධිමත් කොටසක් කිහිප දෙනෙක් හොරු .මගේ ප්‍රණාමය ඔබේ බුද්ධියට.
surprise,surprise,හාමුදුරුවෝ හරියට පොත කියවල නැද්ද ?
,,"ආගමික සහජීවනය හොද දෙයක් නමුත් අරාබි තාත්තල සිංහල අම්මලා කතාව බොරුවක්. එහෙම උනානම්, ලංකික මුස්ලිම් ප්‍රජාව අරාබි බාෂාව හෝ සිංහල භාෂාව කතාකරන්න ඕනේ. නමුත් එයාලා කතා කරන්නේ දෙමල. අනික අරාබිවරුන් සුදු මිනිස්සු කියන්නේ සුදු ජාතිකයින් පිරිසක්. අපේ අය සුදු මිනිස්සු කට්ටියක්ද?"
,,"මට නම් කීමට ඇත්තේ එකම දෙයකි. එයනම් "" ලෝකය ගෝලාකාරයි මිනිසුන් විවිධාකාරයි "" මෙහි ඇති සමහර කොමන්ට් දාලා ඉන්න අයට පිස්සුද මන්දා. ජාති වාදී ප්‍රතිචාර දාන්න එපා"
,surprise,එතකොට ඒ සිංහල අම්මලට උනේ මොකක්ද? කෝ ඒ අය?
disgust,disgust,අපේ මිනිස්සුන්ට බඩගින්නේ හිටියත් කමක් නැහැ ඉඳලා හිටලා හරි පොඩි විනෝදයක් තියෙනවා නම්
,,අපේ රට රැකගත් රණවිරුවන්ටත් අපි මේ ආකාරයෙන්ම බුහුමන් දැක්විය යුතුයි
,,ඉතාම නිරහංකාර චරිතයක්. ඔබට ජය!
,joy,හිත හොද අවංක කොල්ලෙක්. කන්කරච්චල් සංගීතයට තිත තියලා අපේ මනස සැහැල්ලු කරන්න හොඳ සින්දු ටිකක් අපට දායාද කරන්න ඉදිරියට. දිගු ගමනකට සුභ පතනවා.
,,දිගු ගමනක් යාමට හැකිවේවා!
joy,joy,ඔබට සුභ අනාගතයක්!
,,ලංකාවෙ මිනිස්සු ඊර්ෂ්‍යා නැහැ
,joy,ඔබගේ ගී ගැයීම අගය කරන අතරම හරවත් නිර්මාණ වලින් පිරිපුන් දිගු අනාගතයකට ආසිරි පතන්නෙමි. ඔබට ජය !!!
,,මම දන්නා තරමින් සිරස සුපර්ස්ටාර් ගයාන් අරෝෂට එස්.එම්.එස් 850000 වඩා ලැබුනා. මෙයාට ඊට වැඩිය හමුබ වුනාද? 
joy,joy,මම ඔහුට හදවතින්ම සුභ පතනවා!
,,සමහර සිහින තරු ඉන්නවා ප්‍රසිද්ද ගායකයන්ගේ ගීත විනාශ කරගෙන වවාගෙන කනවා. ඔබ එවැනි රැලි වලට අසුනොවී ඔබගේම ගීත වලින් ජනතාව පිනවන්න.
,,මේ ඔක්කොම වෙද්දී තාත්තා අසල කඩේක කහට කෝප්පයක් බොමින් හිටියා කියන එක ටිකක් පැහැදිලි මදි.
disgust,disgust,රටේ මිනිස්සු බඩගින්නේ දගලනවා මේහේ ජෝගි නටනවා
,,මේ තරුණයා ලැබුන තෑගී මුදල් ආදිය යහපත් ආයෝජනයක යෙදෙව්වොත් හොඳයි. ඇසුරට සුදුස්සන් විතරක් කිට්ටු කර ගනිමින් මුල අමතක නොකලොත් අනාගතයේ ජය නියතයි. මේ වගේම ඈත ගමකින් ආපු කලාවට දක්ෂ කාන්තාවක් අද කොළොඹ හතේ වගේ ජීවත් වුනත් ඇගේ සල්ලි පිටුපස ඇත්තේ මොනවාදැයි දන්නෝ දනිති. ධනුෂ්කට නම් නම්බු පිටම ඉදිරියට යන්න ලැබේවා.
joy,,ඔහුට හදවතින්ම සුභ පතනවා. නියම තරුවක්. ඔබට ජය
,,සනත් මල්ලි මෙහෙමයි ඔය සින්දුවේ අර්ථය. අපේ ලාංකිකයෝට රෙදි ටික ගෙනත් දුන්නම ඇති ඒ ගොල්ලෝ කපල මහගෙන ඇදගන්නවා. ඔය කියන තාත්තා දන්නවා ඇති අද මේ පනදෙන්න වගේ හිටියට හෙටේ උදේ ඉඳල කහට එකක් අරන් දෙන්නවත් එකෙක් නැහැ කියලා. අතීතය අමතක නොකර උන්දැ තමන්ගේ පාඩුවේ තේකක් බිබී ඉන්න ඇති.
disgust,,මේ ඔක්කොටම පිස්සු. වෙන අපට ප්‍රශ්න නැති නිසා වෙන්න ඇති.
,,සියලු දෙවි රැකවරණින් දිගු ගමනක් යාමට ලැබේවා!
,,ඔබට සදා ජය!
joy,joy,මමත් එයාට කෙටි පණිවුඩ යවලා කැමැත්ත පළකළා. මටත් ඇත්තෙන්ම සතුටුයි
,,තමන්ගේම ගීත පමණක් කියන්න පුලුවන් නම් කොච්චර හොඳද?
disgust,disgust,"මේ පේනවනේ, හොදට බලන්න මේක තමයි සත්‍ය බඩට කන්න නැතත් ලෙඩට බේත් නැතත් මේ වගෙ විකාරවලට මොන තරම් මිනිස්සු ඉන්නවද?"
joy,,ඔබට සුභ අනාගතයක් වේවා!
disgust,anger,අපේ මිනිස්සු ඡන්දෙ දෙන්නෙත් මේ වගේ තමයි. කිසි තේරුමක් නැහැ ඔහේ රැල්ලට යනවා.
,,"හැරිසන් ඔබ හරි නමුත් මෙහි අදහස් දමපු ""අශාන්, මිලානෝ ජයන්ත, පිටිගල, ශාන්, කියන කීප දෙනා හොඳම ඉරිසියා කාරයෝ ?"
,,පළමුවෙන්ම මෙම ගැමි තරුණයාට සුභ පතමි. හොඳට බලන්න. මේක තමයි සත්‍යය. බඩට කන්න නැතත් ලෙඩට බේත් නැතත් මේ වගේ ප්‍රසංග වලට මොනතරම් මිනිසුන් ඉන්නවාද?
,,ජයසිරි මනිමේන්ද්‍ර .....ඔබ හරි. සමහරුන්ට කිසිම දෙයකින් සැනසීමක් නැති බව තේරෙනවා එයාලගේ අදහස් බලපුවාම. දාහක් ප්‍රශ්න තිබුනත් මිනිසාගේ හිත මොහොතකට හරි සැනසීමක් ගෙන්න මෙවැනි සුන්දර මිනිසුන්ගේ හඬට පුළුවන්..වින්දනයක් නැති මිනිසුන් පව් ..
,,පිටිගල මහත්තයෝ ඔයාට ප්‍රසන තිබුණාට අපට නැහැනේ.එනිසා ඔයාගේ ගෙදර ප්‍රසන ඔයාම බලාගන්න
,,ශාන්ල වගේ කම්මැලියන්ට බඩගින්නේ දගල්ලන්න නෙවි බඩගින්නේ මැරෙන්න වෙන්නේ. මොකද ගෙදරට වෙලා බුදියගෙන හිටියම කන්න ලැබෙන්නේ නැහැ. එහෙම කම්මැළි කමේ බුදියගෙන ඉදල අනුන්ට ඉරිසියා කරනවා. ඔයාල වගේ අය තමා ජිවිතේ විදින්නේ නැතිව විදවන්නේ. පව් පෙර කල කරුම තමා ඔය
,,පිටිගල මහත්තයෝ ඔබට අන් සියලු දෙනාම පිස්සෝ වගේද පේන්නේ? එය දන්නෝ දනිති.
,,ඔබට දිගු ගමනකට හදවතින්ම සුභ පතනවා.ඔබ ජාතියට ආඩම්බරයක්.ඔබට නිදුක් නිරෝගී වාසනාවන්ත සුභම සුභ අනාගතයක්. ඔබ වැනි පුතෙක් හැදූ අම්මා තාත්තා ජාතියට ණය නැහැ. තෙරුවන් සරණයි!
disgust,disgust,මේවා තරු විදිහට දකින්නේ ජිවිතේට තරු නොදැකපු අන්දයෝ
,,මේ වැඩේට ළමයාගේ දෙමව්පියනුත් සම්බන්ධ ඇති. නැතිනම් තනියම දොස්තර කෙනෙක් ලඟට ගිහින් මෙහෙම සුත්තරයක් කළා කියලා හිතන්න අමාරුයි.
,,මේ වගේ දේවල් එච්චර දුර දිග ගෙනිහින් ළමයාගේ අනාගතය අදුරු නොකරාවි කියා හිතනවා. අපි ඉස්කෝලේ ගිය කාලේ කරපු වැඩ වල හැටියට දිගටම ඒ වගේ වැඩ කලානම් අපි අද නැහැ.
disgust,disgust,ඇමති කෙනෙක් වෙන්න අංකුර ලක්ෂණ තිබෙනවා. යුතුකමෙන් වගකීමෙන් පැන ගිහින් අන්තිමට හැමෝගෙම අනුකම්පාවට ලක් වෙන්න හදනවා.
,,"තිලමුට්ටි ජාතකයේ ගුරුතුමා වගේ සුදුසු අවස්ථාවේ දඬුවම් නොකළොත් අනාගතයේදී බිහිවෙන්නේ සමාජය ගැන යුතුකම් ගැන කිසිත් නොදන්නා වංචාකාරයෙක් . බදු හොරු , අල්ලස් , මුල්‍ය වංචා ආදියට වැඩිහිටියන් ලෙස යොමුවන්නේ , කුඩා කල වංචනික ලෙස අනුන් රැවටීමේ වැරැද්ද ගැන නොදැන සිටි උදවියයි. පන්ති තහනම් කිරීමක් වගේ දෙයක් නොකර අනාගතයේ ලැබිය හැකි ශිෂ්‍යනායක ධූරයකට නුසුදුස්සෙක් බවට පත්කර සාධාරණ දඬුවමක් දිය හැකියි."
,,ගුරුවරු ඇතුළු ගොඩක් රජයේ සේවකයෝ ලෙඩ නිවාඩු දාල විරෝධය දක්වන අවස්ථා ගැන මොකද කරන්නේ
,,"සුසිරි නිකන් ඇසුරි වෙන්න හදන්න එපා. ඉස්කෝලේ යන ළමයි ඕව කලාට එ්ක ලොකුවට ගණන් ගන්න දෙයක් නෑ. දැන් බොහොමයක් ""ලොකු"" මිනිස්සු වැඩ කරන්නේ ඉස්කෝලේ ගිහින් නෑ වගේ."
,,මේ ළමයාට සුදුසු දඬුවමක් නොදුන්නොත් එ්ක අනෙක් ශිෂ්‍යන්ටත් වැරදි පුර්වාදර්ශයක් වේවි. අන්තිමට සමාජයට බිහිවෙන්නේ නොම්මර එකේ වංචා කාරයෙක්.
,,හොරට වෛද්‍ය සහතික දෙන එක සහ ගන්න එක ලංකාවේ එදත් තිබුනා අදත් තියනවා. හෙටත් තිබේවි. ඉස්සර වේරහැර ලංගම තියන කාලේ එතන තිබුන තේ කඩේක ආයුර්වේද වෙද මහතෙකු ගේ සහතික මිටියක් සමග මනුස්සයෙක් හිටියා. ඒ සහතිකයේ ලියා පදිංචි වේද මහතා 1940 හෝ 50 දශකයේ මියගිය කෙනෙක් කියලයි අපි අසා තිබුනේ. අයකිරීම දිනකට රුපියලයි. විශේෂයෙන් දීර්ඝ සති අන්තයකට සතියේ දිනක් නිවාඩු ගතයුතු වූ විට ඊළඟ වැඩකරන දිනයේ මොහුගෙන් සහතික ගැනීමට එන අයගේ පෝලිම පාරට දිගයි.
,,"ගාමිණී,ජනක්, පාසල් යන කාලේ ඕවා කළේ නැත්නම් ආයේ කවදා කරන්නද නේද? මගේ යාලුවෙක් හිටියා අලුත් සපත්තු 2ක් ගන්නතුරු එක කකුලක ඇඟිල්ලක් ඔතාගෙන අනිත් කකුලේ හොඳ සපත්තුව දාගෙන ආවා.අපි කරපු වැඩ වලට පාසලේ නෙමෙයි රටෙත් තියාගන්න එකක් නැහැ."
,,"ජනක්, පසුගිය කාලයේ ඉගෙනගත් පාසලේ පරිගණක සොරකම් කර තිබුනේ පාසලේම සිසුවෙක්."
,,තිලමුට්ටි ජාතකය කියවා තිබෙන අයට ඇත්ත මොකක්ද කියලා වැටහේවි.
,,ළමයාගේ වැරැද්ද පෙන්වා නොදී රටේ හැමෝම ඕවා කරන නිසා අනේ ඔයත් කළාට කමක් නැහැ කියලා සාධාරණීකරණය කරන එක මගේ ළමයින් සම්බන්ධයෙන් නම් මම අනුගමනය කරන්නේ නැහැ.
,,අපි නම් ළමයින්ට වරද වරදමයි කියලා පෙන්වා දෙනවා. අනෙක් අයට සාපේක්ෂව ළමයින් හික්මවන්න ගියොත් අපිට ඉතිරි වෙන්නේ ළමයින් නෙමෙයි.
surprise,surprise,මෙතන සමහරු වංචාව සාධාරණීකරණය කරලා තිබෙන හැටි හරි පුදුමයි.
,,හැදෙන ගහ පැත්තෙන් දෙපැත්තෙන් දැනෙයි කියා නරියත් කිව්වලු
,surprise,ජනක දැන් මුළු පාසලේම ළමයින් කකුල් බැඳගෙන ගෙදර නැවතුනා නම් ශ්‍රමධානයට මොකද වෙන්නේ ?
,,අපේ කාර්යාලයේ සඳුදාට සාමාන්‍යයෙන් වැඩ වැඩියි. එදාට පුරුද්දට ලෙඩ වෙන කෙනෙක් ඉන්නවා. නිවාඩු ඉවර නම් එයාට අඩු ගානේ ඔලුව රිදෙනවා කියලා හරි අත්‍යාවශ්‍ය වැඩ වලින් කර අරිනවා.
,,"කට්ටිය පාසල් යනකාලේ නියම උපාසක ,උපාසිකාවන් වගේනේ කතාව. මම නම් කරලා තියෙන වැඩ වල හැටියට මෙහෙම ඉන්න එක ලොකු දෙයක්"
disgust,,අපි නම් අනිත් උදවියත් කරනවා කියලා අපේ ළමයින්ට වැරදි දේ කරන්න උඩගෙඩි දෙන්නේ නැහැ.
,,"අපේ නගරයේ රත්තරන් බඩු සාප්පුවකට දරුවෙක් එක්ක පැමිණ හොරකමේ යෙදුන අම්මා කෙනෙක් අල්ලාගත්තා. අම්මා රත්තරන් බඩු බලනවිට ළමයා ඉතා සුක්ෂම ලෙස ඉන් එකක් හංගාගන්නා හැටි කැමරාවේ සටහන් වෙලා තිබුනා. නිදහසට කාරණාවක් ලෙස ඒ කාන්තාව කියා තියෙන්නෙත් අද කාලයේ ජීවත්වෙන්න ඔක්කොම මෙහෙම දේවල් කරනවා, ඉතින් මම විතරක් වැරදි ඇයිද කියලා."
,,"අනේ ජනක, අපිට නම් ඔය ලොකු මිනිසුන්ගේ තාලයට අපේ ළමයින් රැල්ලේ යවන්න බැහැ."
,,මට මතකයි මීට කලකට පෙර වාර්තා වෙලා තිබුනා ළමයෙක් එයාගේ පාසලේම පරිගණක සොරකමක් කරලා කියලා. ඒකත් අනිත් හැමෝම කරන නිසා කළාට කමක් නැති ඝණයටද දන්නේ නැහැ වැටෙන්නේ?
,,"ඔන්න කවුරුත් මේ පුවතේ ළමයාට කිසිවක් නොකියා ඉන්න. තව ටික කලක් යනකොට විභාග වංචා කළත් කමක් නැහැ, ඒකත් හැමෝම කරනවා කියන මට්ටමට සමාජය ඒවි."
,,ඔක්කොම සිසුන් කකුල් වෙලාගෙන ගෙදරට වෙලා හිටියා නම් හරි. එතකොට ගෙවල්වල ඉන්න දෙමව්පියන්ට බැරියෑ ඇවිල්ලා ශ්‍රමදානය කරන්න.
,,දරුවාටම දොස් කියන්න එපා .මම පාසල් යන කාලේ ගුරුවරුන්ට මගේ අගය දැනුනේ නිවාසාන්තර ක්‍රීඩා තිබෙන කාලෙට විතරයි.වහිනකොට පන්තිය තෙමෙනකොට උලු කැටේ හදන්නේත් මම.මම විභාග සමත් වූ හැමවිටම ගුරුවරු පුදුම වුණා. තුන්පාරක් කරලා හරි විශ්ව විද්‍යාලෙත් ගියා.පරණ ගුරුවරු හමුවුණහම පාරමැද්දේ දණගහලා වඳින්නේ බෝපැල වගේ හිටි අය නෙමෙයි අපි
sadness,sadness,පහන්ගේ කතාව සංවේදීයි. ඔබෙන් පාසලට ගෞරවයක් මිසක් අවනම්බුවක් වුණේ නැහැනේ පහන්. ඇයි ඔබ ඔබවම අවතක්සේරු කරගන්නේ?
,,"මම ඉගෙන ගත්තේ පන්සලේ, ඒකාලේ තමයි "" වේවැල් කොටු නාරන් සියඹලා අතු ......කිතුල් පොල් ඉරටු වැල් කසම්බිලිය අතු........වලින් දඬුවම් කලේ, හොඳට මතක තියෙන දඬුවම්.ගුටි කාලා ගෙදර ඇවිත් තාත්තට හොරෙන් අම්මට කියලා පිටේ තෙල් ගා ගන්නවා. ඒකාලේ දඬුවම් නිසා අපි අද මෙහෙම ඉන්නේ, හැබැයි ඒ ගුරුවරු අතින් පයින් කන පැලෙන්න ගැහුවේ නැහැ. ඒ ගුරුවරු ගුරු දෙවි වරු."
,,"ධනුක, මම අසාමාන්‍ය ලෙස දඟකළ කෙනෙක්, පාසල් කාලය තුළ.මට කවදාවත් පන්ති නායකකමක්වත් ලැබිලා නැහැ.උළු කැටේ හදනවා කියල මම කරන්නේ තවත් තෙමෙන්න අරින එක.ගුරුවරුන්ගෙන් ගුටිකෑවට ගෙදර ඇවිල්ලා කියන්නේ නැහැ.කිව්වගමන් තාත්තගෙන් කන්න වෙනවා.අපේ තාත්තා දැන් ඉන්න තාත්තලා වගේ ගුරුවරයා හොයාගෙන ගියේ නැහැ"
,joy,මෙන්න අනාගත පරපුරට අවශ්‍ය පුතාලා. හොද දේශපාලකයෙක් වෙන්න පුළුවන්. සුබ අනාගතයක්.
,,"මේ ළමය වැරද්දක් කරලා තියනවා. ඕක මහ ලොකුවට ගන්න දෙයක් නෙවෙයි. පොඩි දඬුවමක් දුන්නම ඇති ,මට මතක්වෙනවා මීට සමාන කතාවක්. මීට බොහොම කාලෙකට ඉස්සර අමිත අබේසේකර ලියපු කොලමක තිබුණ කතාවක්. එ්කේ හැටියට දෙන්නෙක් බොරුවට පාරේ යන වාහනවල හැප්පිලා ගානක් කඩාගන්නවා. දවසක් එහෙම වෙලාවක සල්ලිත් ගත්තට පස්සේ මිනිහ දුවල තියෙන්නේ කැඩුන කියල පෙන්නපු කකුල බිම ගහල එතකොට අනික කෑගැහුවලු යකෝ අනිත් කකුල කියල !"
,,"මේ අදහස් ටිකත් කතාවටම එකතු කරලා ටෙලි නාට්‍යයකට හොඳ පිටපතක් හදාගන්න පුළුවන් වෙයි. නම දාන්න පුළුවන් "" ළමයා සහ කකුල"" කියලා එහෙමත් නැත්නම්"" ශ්‍රමදානය"" කියලා"
,,"පහන්, අද ඔබ ඉන්න තත්ත්වය ගැන ගොඩක් ආඩම්බරයි. තවත් ඔබේ ජීවිතය සාර්ථක වේවා කියා පතමි මුළු හදින්!"
,,"එම වෛද්‍යවරයාගේ බෙහෙත් සාප්පුව ඉදිරිපිට ""අල්ලගන්න බැරි ඕනෑම ලෙඩක් අල්ලා බාරදෙනු ලැබේ"" කියලා දැන්වීමක් ගැහුවොත් නරකද?"
,,අපරාධකරුවකු සහ සාමාන්‍ය පුද්ගලයකු අතර වෙනස පෙර කී පුද්ගලයා නීතියේ රැහැනට හසුවී සිටීමයි
,,අපිට දැන ගන්න ආසයි මේ මඟුල් උත්සවයේ සාක්කියට අත්සන් කරන්න හිටියේ කවුද කියලා.
,disgust,මේ උදවියගේ ඡායාරූප ප්‍රසිද්ධ කරන්නේ නැත්තේ ඇයි? දැන් අර අලුත්ම මෝස්තරේට පන්සලේද දන්නේ නැහැ විවාහ වෙන්න හිටියේ .
,,මේ පෙම්වතිය ගේ ඡායාරූපයක් නැද්ද ? මගුල් කන්න සල්ලි හොයන්න ඕන මෙහෙමයි කියලා අපේ හැදෙන ගෑනු ළමයින්ට හොඳ ආදර්ශයක් දීලා තියනවා.
,,"පන්සලේ ද කතෝලික පල්ලියේද, මුස්ලිම් පල්ලියෙද කියල කොහොමද දන්නේ නිශේන්."
sadness,sadness,පවු කියලත් හිතෙනවා
sadness,sadness,"පවු! දෑවැද්දටයි, මඟුල් ගෙදරටයි සල්ලි හොයන්න හිතාගෙන කරන්න ඇති"
